Product_ID,Product_Category,Store_Location,Store_Type,Supplier_Region,Season,Current_Stock_Units,Average_Weekly_Sales,Lead_Time_Days,Unit_Cost,Selling_Price,Discount_Rate,Customer_Rating,Return_Rate,Website_Views,Previous_Stockout,Competitor_Price_Index,Reorder_Needed,Cluster,Segment_Name
P0001,Fitness,Downtown,Standard,Local,Back-to-School,31,32,2,10.61,17.87,0.0,3.9,0.08,760,Yes,1.06,No,1,Low-Cost Moderate Demand Products
P0002,Kitchenware,Suburban,Flagship,International,Fall,0,25,16,68.41,129.9,0.29,4.1,0.01,532,No,1.15,Yes,2,Premium Low-Stock Products
P0003,Kitchenware,Downtown,Standard,Local,Spring,60,35,5,25.13,48.82,0.16,4.1,0.11,897,No,1.11,No,1,Low-Cost Moderate Demand Products
P0004,Fitness,Mall,Standard,International,Back-to-School,111,51,16,27.97,42.97,0.11,4.1,0.1,1108,No,1.19,Yes,1,Low-Cost Moderate Demand Products
P0005,Beauty,Suburban,Standard,International,Fall,521,45,23,42.72,59.63,0.0,3.4,0.03,245,No,1.03,Yes,0,High Demand / High Stock Products
P0006,Kitchenware,Online,Online,National,Summer,98,38,7,37.04,63.63,0.34,3.8,0.08,1567,Yes,1.17,Yes,1,Low-Cost Moderate Demand Products
P0007,Apparel,Online,Online,National,Back-to-School,155,75,7,28.64,38.56,0.33,4.2,0.09,2569,Yes,1.01,Yes,0,High Demand / High Stock Products
P0008,Apparel,Mall,Standard,Local,Holiday,81,85,2,44.99,93.74,0.11,4.1,0.18,2266,No,0.87,No,0,High Demand / High Stock Products
P0009,Home Goods,Suburban,Flagship,National,Summer,44,54,5,9.39,14.19,0.0,4.7,0.15,1503,No,0.9,No,1,Low-Cost Moderate Demand Products
P0010,Beauty,Online,Online,National,Holiday,29,88,9,29.79,69.09,0.0,4.3,0.04,2040,No,1.19,Yes,0,High Demand / High Stock Products
P0011,Apparel,Campus,Outlet,International,Holiday,258,66,14,40.91,60.98,0.0,3.1,0.2,1815,No,1.2,No,0,High Demand / High Stock Products
P0012,Apparel,Suburban,Outlet,National,Winter,96,46,7,48.4,85.82,0.0,3.8,0.14,1268,Yes,1.09,No,0,High Demand / High Stock Products
P0013,Home Goods,Mall,Standard,National,Winter,48,10,7,19.52,40.25,0.12,3.8,0.05,556,No,1.22,No,1,Low-Cost Moderate Demand Products
P0014,Home Goods,Campus,Outlet,International,Fall,138,27,18,57.47,109.74,0.35,4.7,,813,No,1.2,Yes,2,Premium Low-Stock Products
P0015,Beauty,Suburban,Standard,National,Summer,18,39,6,41.13,99.1,0.0,3.7,0.09,1086,Yes,1.12,No,2,Premium Low-Stock Products
P0016,Apparel,Campus,Outlet,National,Holiday,38,58,6,13.69,21.53,0.32,3.9,0.17,879,Yes,0.86,Yes,1,Low-Cost Moderate Demand Products
P0017,Fitness,Downtown,Outlet,International,Holiday,121,59,11,5.88,12.31,0.15,4.3,0.01,1357,No,1.17,No,1,Low-Cost Moderate Demand Products
P0018,Beauty,Suburban,Standard,Local,Spring,49,33,4,69.69,177.67,0.13,4.4,0.01,1536,No,0.87,No,2,Premium Low-Stock Products
P0019,Home Goods,Downtown,Standard,National,Fall,63,23,6,33.27,61.99,0.13,5.0,0.08,676,No,0.97,No,1,Low-Cost Moderate Demand Products
P0020,Home Goods,Online,Online,National,Fall,77,45,7,34.58,53.98,0.09,4.4,0.14,1143,No,0.94,No,1,Low-Cost Moderate Demand Products
P0021,Electronics Accessories,Mall,Standard,National,Fall,32,42,10,72.49,159.15,0.0,3.4,0.07,1343,No,0.91,Yes,2,Premium Low-Stock Products
P0022,Beauty,Online,Online,Local,Fall,135,52,3,56.92,100.37,0.12,3.8,0.15,1044,No,0.99,No,2,Premium Low-Stock Products
P0023,Apparel,Suburban,Outlet,National,Holiday,26,48,2,49.25,123.59,0.32,3.9,0.07,1640,No,1.01,No,2,Premium Low-Stock Products
P0024,Kitchenware,Mall,Standard,Local,Spring,45,42,3,28.3,51.44,0.0,4.3,0.06,679,Yes,1.04,No,1,Low-Cost Moderate Demand Products
P0025,Office Supplies,Mall,Standard,International,Back-to-School,208,39,16,30.73,65.21,0.31,3.3,0.11,1134,No,0.99,Yes,0,High Demand / High Stock Products
P0026,Electronics Accessories,Downtown,Standard,Local,Back-to-School,60,60,6,46.89,63.37,0.0,4.1,0.07,1315,No,0.95,No,1,Low-Cost Moderate Demand Products
P0027,Pet Supplies,Suburban,Flagship,Local,Winter,70,46,3,53.41,115.87,0.25,4.3,0.07,1208,Yes,1.05,Yes,2,Premium Low-Stock Products
P0028,Apparel,Mall,Standard,Local,Holiday,207,94,5,5.95,9.38,0.25,4.0,0.07,3035,Yes,1.07,Yes,0,High Demand / High Stock Products
P0029,Fitness,Downtown,Outlet,National,Fall,55,20,8,42.45,68.06,0.3,4.9,0.14,570,No,1.11,No,2,Premium Low-Stock Products
P0030,Beauty,Mall,Standard,National,Summer,189,51,10,10.59,24.99,0.12,3.3,,1499,Yes,0.89,No,1,Low-Cost Moderate Demand Products
P0031,Pet Supplies,Online,Online,Local,Spring,39,47,3,58.73,103.18,0.28,3.7,,988,No,0.94,No,2,Premium Low-Stock Products
