borrower_id,age,age_group,gender,region,membership_type,borrower_category,book_category,loan_period_days,books_borrowed_last_6m,previous_late_returns,days_before_due_reminder_sent,account_fines_amount,library_visits_last_3m,renewal_used,distance_to_library_km,late_return
LB0001,56,51+,Male,North,Standard,Regular,Children,21,26,1,7,35.99,12,No,15.1,0
LB0002,72,51+,Male,West,Standard,Research,Textbook,14,32,1,1,,3,Yes,19.0,0
LB0003,67,51+,Male,West,Standard,Casual,Technology,7,31,0,7,81.32,6,Yes,1.7,0
LB0004,80,51+,Female,West,Senior,Casual,Textbook,28,21,0,3,80.22,2,Yes,24.4,1
LB0005,23,18-25,Female,East,Standard,Regular,Non-fiction,14,28,0,3,81.72,14,Yes,9.3,0
LB0006,29,26-35,Female,East,Standard,Casual,Technology,7,1,0,2,48.26,5,No,27.8,1
LB0007,36,36-50,Female,West,Premium,Family,Technology,21,17,3,5,76.76,7,Yes,14.0,0
LB0008,59,51+,Male,North,Senior,Casual,Children,7,32,4,1,84.25,10,Yes,12.9,1
LB0009,67,51+,Female,South,Standard,Research,Fiction,21,34,4,5,42.22,4,Yes,4.0,1
LB0010,32,26-35,Female,North,Standard,Research,Textbook,7,30,3,5,9.03,16,No,32.9,1
LB0011,28,26-35,Male,East,Student,Regular,Technology,28,32,1,3,39.6,0,Yes,16.4,1
LB0012,51,51+,Female,South,Standard,Regular,Children,7,21,4,3,17.63,16,Yes,37.4,1
LB0013,56,51+,Female,North,Student,Casual,Non-fiction,14,7,0,3,43.3,18,No,37.2,0
LB0014,42,36-50,Male,North,Standard,Casual,Textbook,21,3,3,2,71.43,11,No,19.0,1
LB0015,78,51+,Male,West,Student,Regular,Technology,7,19,2,1,6.39,10,Yes,21.1,0
LB0016,70,51+,Female,West,Standard,Casual,Technology,7,29,0,5,51.45,16,Yes,18.9,0
LB0017,23,18-25,Female,North,Premium,Regular,Fiction,21,21,0,2,60.9,3,Yes,30.3,0
LB0018,47,36-50,Male,East,Standard,Casual,Non-fiction,7,1,2,5,34.73,16,No,19.0,0
LB0019,56,51+,Female,North,Student,Casual,Technology,21,9,1,5,46.94,14,Yes,8.2,0
LB0020,68,51+,Male,West,Student,Casual,Textbook,7,26,0,5,33.78,10,Yes,16.6,0
LB0021,31,26-35,Male,North,Standard,Casual,Fiction,28,28,1,1,49.69,5,No,23.4,1
LB0022,22,18-25,Male,South,Student,Casual,Fiction,14,25,0,5,4.18,11,Yes,9.4,0
LB0023,79,51+,Female,East,Standard,Regular,Children,14,2,0,3,14.92,1,Yes,30.5,0
LB0024,64,51+,Female,South,Standard,Family,Children,28,33,4,7,14.87,9,No,35.6,1
LB0025,63,51+,Male,East,Premium,Research,Technology,14,33,0,7,19.3,5,Yes,33.2,0
LB0026,57,51+,Male,West,Premium,Research,Children,21,23,0,3,25.15,17,Yes,25.1,0
LB0027,69,51+,Male,West,Senior,Casual,Technology,28,32,0,2,55.12,4,Yes,16.3,0
LB0028,82,51+,Female,South,Student,Family,Children,7,32,1,7,1.58,1,Yes,0.6,0
LB0029,22,18-25,Male,East,Standard,Regular,Fiction,14,31,0,2,39.95,7,No,5.9,0
LB0030,29,26-35,Male,South,Standard,Family,Fiction,28,15,0,1,5.38,16,No,27.5,0
LB0031,39,36-50,Male,South,Standard,Casual,Non-fiction,28,5,1,5,44.91,4,No,36.0,0
